Date,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2019-11-18,197.4,0.9742,0.055,0.856,0.089,194.56,198.63,193.05,16176110
2019-11-19,199.32,0.993,0.037,0.836,0.127,197.4,200.0,196.86,19070290
2019-11-19,199.32,0.993,0.037,0.836,0.127,197.4,200.0,196.86,19070290
2019-11-20,197.51,0.9374,0.035,0.904,0.061,198.58,199.59,195.43,12370240
2019-11-20,197.51,0.9374,0.035,0.904,0.061,198.58,199.59,195.43,12370240
2019-11-21,197.93,0.9936,0.038,0.873,0.089,197.42,199.09,196.86,12130990
2019-11-21,197.93,0.9936,0.038,0.873,0.089,197.42,199.09,196.86,12130990
2019-11-22,198.82,0.9965,0.057,0.784,0.158,198.38,199.3,197.62,9959817
2019-11-22,198.82,0.9965,0.057,0.784,0.158,198.38,199.3,197.62,9959817
2019-11-25,199.79,0.9988,0.03,0.777,0.193,199.515,200.97,199.25,15286440
2019-11-25,199.79,0.9988,0.03,0.777,0.193,199.515,200.97,199.25,15286440
2019-11-26,198.97,0.9982,0.037,0.783,0.179,200.0,200.15,198.0387,11748660
2019-11-26,198.97,0.9982,0.037,0.783,0.179,200.0,200.15,198.0387,11748660
2019-11-27,202.0,0.9895,0.073,0.801,0.127,199.9,203.14,199.42,12760570
2019-11-27,202.0,0.9895,0.073,0.801,0.127,199.9,203.14,199.42,12760570
2019-11-29,201.64,0.9792,0.061,0.835,0.105,201.6,203.8,201.21,7985231
2019-11-29,201.64,0.9792,0.061,0.835,0.105,201.6,203.8,201.21,7985231
2019-12-02,199.7,0.9811,0.034,0.888,0.078,202.13,202.18,198.05,11542020
2019-12-03,198.82,-0.4129,0.061,0.883,0.056,197.6,198.93,195.08,13014170
2019-12-04,198.71,0.9872,0.077,0.79,0.133,200.0,200.0288,198.05,8459939
2019-12-05,199.36,-0.6705,0.15,0.756,0.094,199.86,201.29,198.2126,9755350
2019-12-06,201.05,0.5661,0.066,0.861,0.073,200.5,201.57,200.06,12279530
2019-12-09,201.34,0.9888,0.036,0.869,0.095,200.65,203.1418,200.21,12013220
2019-12-11,202.26,0.9467,0.052,0.863,0.085,200.28,202.63,200.28,8041827
2019-12-11,202.26,0.9467,0.052,0.863,0.085,200.28,202.63,200.28,8041827
2019-12-12,196.75,0.9956,0.058,0.798,0.143,202.35,203.66,194.1,23766990
2019-12-13,194.11,0.9866,0.055,0.819,0.126,196.4,196.8,193.17,18806020
2019-12-16,197.92,0.9851,0.046,0.832,0.122,195.27,199.12,194.81,14922730
2019-12-17,198.39,0.9899,0.058,0.823,0.119,198.84,199.0,196.13,10177610
2019-12-18,202.5,0.9955,0.029,0.807,0.164,200.09,204.3,200.09,23284750
2019-12-19,206.06,0.9806,0.048,0.841,0.111,202.78,206.3,202.51,16808180
2019-12-20,206.3,0.9935,0.021,0.839,0.14,207.48,207.71,203.43,27315230
2019-12-23,206.18,0.889,0.082,0.8,0.118,206.7,208.59,205.68,13353190
2019-12-24,205.12,0.9921,0.038,0.813,0.15,206.3,206.79,205.0,6046273
2019-12-26,207.79,0.9852,0.043,0.821,0.136,205.567,207.82,205.31,9368273
2019-12-27,208.1,0.9931,0.029,0.863,0.107,208.6697,208.93,206.5875,10287630
2019-12-30,204.41,0.9915,0.026,0.832,0.141,207.86,207.9,203.9001,10534440
2019-12-31,205.25,0.9973,0.045,0.795,0.16,203.995,205.56,203.6001,8962756
2020-01-02,209.78,0.9517,0.019,0.921,0.06,206.75,209.79,206.27,12090710
2020-01-03,208.67,0.9719,0.007,0.884,0.109,207.214,210.4,206.95,11197420
2020-01-06,212.6,-0.9544,0.097,0.817,0.086,206.7,212.78,206.52,17073860
2020-01-07,213.06,0.9587,0.063,0.841,0.096,212.82,214.58,211.75,15111860
2020-01-08,215.22,0.986,0.028,0.877,0.095,213.0,216.24,212.6121,13492700
2020-01-09,218.3,0.9924,0.037,0.886,0.077,217.54,218.38,216.278,12679580
2020-01-10,218.06,0.9937,0.074,0.801,0.125,219.2,219.88,217.42,12127430
2020-01-13,221.91,0.966,0.045,0.874,0.081,219.597,221.97,219.21,14494520
2020-01-14,219.06,0.9957,0.052,0.808,0.139,221.61,222.38,218.63,13315360
2020-01-15,221.15,0.9719,0.062,0.85,0.088,220.61,221.68,220.14,10036480
2020-01-16,221.77,0.998,0.052,0.785,0.163,222.57,222.63,220.39,10015290
2020-01-17,222.14,0.9975,0.019,0.848,0.134,222.03,222.29,220.53,15905940
2020-01-21,221.44,0.9836,0.054,0.862,0.085,222.155,222.37,219.12,14275780
2020-01-22,221.32,0.9914,0.057,0.84,0.103,222.31,222.75,221.28,12212810
2020-01-23,219.76,0.9946,0.037,0.868,0.095,220.75,221.485,219.27,11195000
2020-01-24,217.94,0.9943,0.046,0.816,0.138,220.8,221.78,216.11,11905820
2020-01-27,214.87,0.9932,0.034,0.873,0.093,213.1,216.06,212.5,13810660
2020-01-28,217.79,0.9986,0.038,0.808,0.154,216.14,218.74,213.52,13413840
2020-01-29,223.23,0.9992,0.042,0.809,0.149,221.44,224.2,218.45,33610010
2020-01-30,209.53,0.9859,0.081,0.818,0.101,206.53,211.43,204.75,48775500
2020-01-31,201.91,0.9901,0.043,0.823,0.134,208.43,208.69,201.06,31359920
2020-02-03,204.19,0.85,0.088,0.829,0.083,203.44,205.14,202.5,15510510
2020-02-04,209.83,0.9563,0.047,0.868,0.085,206.6165,210.6,205.2025,19628890
2020-02-05,210.11,0.959,0.012,0.876,0.112,212.51,212.73,208.71,12538150
2020-02-06,210.85,0.9843,0.067,0.819,0.114,210.47,211.19,209.338,10567530
2020-02-07,212.33,0.9711,0.026,0.891,0.083,210.3,212.82,209.93,12242530
